id,text,platform,topic,time_of_day,text_length,has_emoji,word_count,contains_punctuation_emphasis,emotion
60,Submitted my request two weeks ago. Still pending. No updates.,support_ticket,social,evening,62,False,10,False,frustration
61,Love how the error message just says 'something went wrong'. So helpful.,review,product_feedback,night,72,False,12,False,sarcasm
62,The new location doesn't have the same feel as the original at all.,review,finance,morning,67,False,13,False,disappointment
63,Company retreat next week. First time the whole team meets in person.,chat,social,night,69,False,12,False,excitement
64,Got a handwritten thank you note from a customer. Framed it. Really.,twitter,customer_service,afternoon,68,False,12,False,joy
65,The office will be closed on Friday for the public holiday.,chat,personal,morning,59,False,11,False,neutral
66,My parents watched me give the keynote. Worth every practice run.,support_ticket,tech,evening,65,False,11,False,pride
67,Got a calendar invite titled 'Quick chat' from my manager. Just that.,chat,finance,afternoon,69,False,12,False,anxiety
68,I followed the instructions exactly. It still doesn't work. What am I missing..,twitter,customer_service,evening,79,False,13,False,frustration
69,New season drops at midnight and I am very much awake. Not sure what to think.,twitter,health,evening,78,False,16,False,excitement
70,My visa got approved. Moving to a new country in 6 weeks.,review,customer_service,evening,57,False,12,False,excitement
71,"Wow, a 4 hour delivery window. So specific. Really narrows it down. Really.",chat,tech,night,75,False,13,False,sarcasm
72,First time ever finishing in the top 10. Years of training paid off.,twitter,tech,morning,68,False,13,False,pride
73,I'll send over the details once I have them confirmed.,twitter,finance,morning,54,False,10,False,neutral
74,The server is responding slowly and we have a demo in 20 minutes..,twitter,work,morning,66,False,13,False,anxiety
75,The sunset tonight was unreal. Had to put my phone down just to watch. Not sure what to think.,chat,work,morning,94,False,19,False,joy
76,Sent the email and immediately found a typo. To 300 people.,twitter,product_feedback,evening,59,False,11,False,anxiety
77,Haven't heard back after the final interview. It's been five days..,chat,finance,afternoon,67,False,11,False,anxiety
78,Got a handwritten thank you note from a customer. Framed it.,twitter,personal,evening,60,False,11,False,joy
79,"Wow, a 4 hour delivery window. So specific. Really narrows it down.",support_ticket,personal,evening,67,False,12,False,sarcasm
80,WE GOT THE FUNDING. Announcing next week. Cannot contain this. Not sure what to think.,chat,personal,evening,86,False,15,False,excitement
81,My team pulled off something we were told was impossible. Incredible.,review,tech,morning,69,False,11,False,joy
82,Had to repeat my account details to three different agents today.,chat,customer_service,morning,65,False,11,False,frustration
83,The office will be closed on Friday for the public holiday.,chat,personal,morning,59,False,11,False,neutral
84,The system maintenance is scheduled for Sunday between 2am and 4am.,chat,customer_service,evening,67,False,11,False,neutral
85,My parents watched me give the keynote. Worth every practice run..,chat,social,evening,66,False,11,False,pride
86,First day at the new job tomorrow. Hope I made the right call. Not sure what to think.,twitter,work,morning,86,False,18,False,anxiety
87,My order arrived a day early and everything was perfect.!,chat,work,morning,57,False,10,True,joy
88,Haven't heard back after the final interview. It's been five days.,support_ticket,customer_service,afternoon,66,False,11,False,anxiety
89,The client said it was the best work they've received in years.,review,customer_service,afternoon,63,False,12,False,pride
90,Sent the email and immediately found a typo. To 300 people.,chat,finance,night,59,False,11,False,anxiety
91,The food was so good I ordered the same thing twice.,review,product_feedback,morning,52,False,11,False,joy
92,The collaboration fell through. We were really looking forward to it.,review,health,evening,69,False,11,False,disappointment
93,Expected a lot more based on the reviews. It's fine. Just fine.!,support_ticket,customer_service,evening,64,False,12,True,disappointment
94,Shipped the feature in half the time we estimated. Team was incredible.,review,social,evening,71,False,12,False,pride
95,We hit 10k users today. Started this project alone in my bedroom.,review,social,morning,65,False,12,False,excitement
96,I reviewed the document. A few minor edits noted in the comments.,twitter,product_feedback,afternoon,65,False,12,False,neutral
97,Reached out about the role I was really excited about. Already filled.,support_ticket,work,night,70,False,12,False,disappointment
98,The food was so good I ordered the same thing twice.,twitter,personal,evening,52,False,11,False,joy
99,The form won't let me proceed without a field that doesn't apply to me.,chat,work,night,71,False,14,False,frustration
100,Your account has been created. You can log in with the email provided.,review,personal,afternoon,70,False,13,False,neutral
101,My doctor said the results would be in by now. They're not..,support_ticket,customer_service,night,60,False,12,False,anxiety
102,The product we shipped is being used by people I've never met. Surreal.,twitter,product_feedback,evening,71,False,13,False,pride
103,Haven't heard back after the final interview. It's been five days.,support_ticket,customer_service,morning,66,False,11,False,anxiety
104,The food was so good I ordered the same thing twice.,twitter,tech,morning,52,False,11,False,joy
105,My parents watched me give the keynote. Worth every practice run.,review,finance,night,65,False,11,False,pride
106,The sequel didn't capture anything that made the original special.,review,product_feedback,evening,66,False,10,False,disappointment
107,Had to repeat my account details to three different agents today.,twitter,work,afternoon,65,False,11,False,frustration
108,Been on hold for 47 minutes. Still no answer. Just tell me if the service is down.,twitter,product_feedback,night,82,False,17,False,frustration
109,We've updated our privacy policy. You can view it on our website.,support_ticket,social,evening,65,False,12,False,neutral
110,My parents watched me give the keynote. Worth every practice run. Not sure what to think.,review,work,afternoon,89,False,16,False,pride
111,Had to repeat my account details to three different agents today.,chat,personal,evening,65,False,11,False,frustration
112,Three stars. Not bad. But I wanted it to be great.,support_ticket,social,night,50,False,11,False,disappointment
113,New phone ships tomorrow. Haven't slept properly thinking about it.,chat,work,afternoon,67,False,10,False,excitement
114,My order arrived a day early and everything was perfect.,chat,social,afternoon,56,False,10,False,joy
115,Sent the email and immediately found a typo. To 300 people.,review,finance,afternoon,59,False,11,False,anxiety
116,They reduced the portion size and kept the price the same. Classic.,twitter,work,evening,67,False,12,False,disappointment
117,The sequel didn't capture anything that made the original special..,review,health,night,67,False,10,False,disappointment
118,Attached is the updated version of the report.,twitter,customer_service,evening,46,False,8,False,neutral
119,Your subscription renews on the 15th of next month.,chat,finance,afternoon,51,False,9,False,neutral
120,Your subscription renews on the 15th of next month.,twitter,finance,afternoon,51,False,9,False,neutral
121,My visa got approved. Moving to a new country in 6 weeks..,review,personal,afternoon,58,False,12,False,excitement
122,We didn't make it to the finals. The team gave everything. Still hurts.,twitter,social,evening,71,False,13,False,disappointment
123,They added a dark mode. Pity about everything else.,review,tech,night,51,False,9,False,sarcasm
124,"Oh wonderful, the app needs an update to do the thing it did yesterday. Really.",twitter,work,morning,79,False,15,False,sarcasm
125,Ordered the special and they were out of it. Just found out after waiting.,chat,finance,night,74,False,14,False,disappointment
126,"Oh wonderful, the app needs an update to do the thing it did yesterday.",review,tech,afternoon,71,False,14,False,sarcasm
127,My mentor is leaving the company. Genuinely one of the best people here.,support_ticket,personal,afternoon,72,False,13,False,disappointment
128,My order shows delivered but there is nothing at my door.,review,tech,night,57,False,11,False,frustration
129,My order shows delivered but there is nothing at my door.,chat,tech,evening,57,False,11,False,frustration
130,Just got the call. We're in. Season starts in two months.,chat,tech,night,57,False,11,False,excitement
131,My order arrived a day early and everything was perfect.,twitter,health,morning,56,False,10,False,joy
132,Can't sleep again. Running through every possible thing that could go wrong.,chat,personal,morning,76,False,12,False,anxiety
133,"Yes, please send me one more email asking if my issue was resolved before it was.",support_ticket,health,afternoon,81,False,16,False,sarcasm
134,First run in weeks and I feel like a new person.,review,personal,morning,48,False,11,False,joy
135,Replied to this exact email three times now. Does anyone actually read these?,review,finance,afternoon,77,False,13,True,frustration
136,The feature was removed because 'not enough users requested it.' Just me then.,support_ticket,finance,morning,78,False,13,False,sarcasm
137,Deadline is in four hours and I'm still not confident this is ready.,chat,finance,night,68,False,13,False,anxiety
138,Built the whole thing myself. From scratch. It works. It actually works.,support_ticket,personal,night,72,False,12,False,pride
139,My kid stood up for someone being bullied today. Without being asked.,chat,work,afternoon,69,False,12,False,pride
140,First day at the new job tomorrow. Hope I made the right call.,support_ticket,product_feedback,evening,62,False,13,False,anxiety
141,Been on hold for 47 minutes. Still no answer. Just tell me if the service is down.,review,product_feedback,morning,82,False,17,False,frustration
142,Love how the error message just says 'something went wrong'. So helpful. Really.,support_ticket,customer_service,evening,80,False,13,False,sarcasm
143,The meeting got moved to Monday with no explanation. That's never good.,chat,tech,morning,71,False,12,False,anxiety
144,Got a calendar invite titled 'Quick chat' from my manager. Just that.,twitter,product_feedback,night,69,False,12,False,anxiety
145,Our product just hit the front page. This is it.,twitter,product_feedback,night,48,False,10,False,excitement
146,Another terms and conditions update. Can't wait to not read it. Really.,twitter,finance,evening,71,False,12,False,sarcasm
147,Your account has been created. You can log in with the email provided.,twitter,social,night,70,False,13,False,neutral
148,Got a calendar invite titled 'Quick chat' from my manager. Just that.,twitter,health,night,69,False,12,False,anxiety
149,The beta just went live. Watching signups come in real time. Insane.,chat,personal,night,68,False,12,False,excitement
150,Expected a lot more based on the reviews. It's fine. Just fine.!,chat,personal,night,64,False,12,True,disappointment
151,My team pulled off something we were told was impossible. Incredible.,chat,product_feedback,evening,69,False,11,False,joy
152,The beta just went live. Watching signups come in real time. Insane.,chat,finance,morning,68,False,12,False,excitement
153,We bootstrapped to profitability. No outside funding. Just us.,chat,product_feedback,night,62,False,9,False,pride
154,I'll send over the details once I have them confirmed.,review,tech,afternoon,54,False,10,False,neutral
155,The update broke the one feature I actually used.,review,product_feedback,morning,49,False,9,False,frustration
156,They reduced the portion size and kept the price the same. Classic.,chat,personal,morning,67,False,12,False,disappointment
157,New phone ships tomorrow. Haven't slept properly thinking about it.,review,tech,afternoon,67,False,10,False,excitement
158,Finally finished the book I started six months ago. So worth it.,twitter,customer_service,afternoon,64,False,12,False,joy
159,My favorite is when the loading spinner just spins forever. Very zen.,chat,health,night,69,False,12,False,sarcasm
160,My parents watched me give the keynote. Worth every practice run.,review,finance,afternoon,65,False,11,False,pride
161,Paid for priority support. Currently waiting 6 hours for a response.,support_ticket,customer_service,morning,68,False,11,False,frustration
162,"Yes, please send me one more email asking if my issue was resolved before it was.",twitter,social,evening,81,False,16,False,sarcasm
163,Applied for the mortgage. Just waiting now. Everything is on hold until we know.,chat,social,afternoon,80,False,14,False,anxiety
164,Our product just hit the front page. This is it. Not sure what to think.,twitter,finance,night,72,False,15,False,excitement
165,Another terms and conditions update. Can't wait to not read it.!,support_ticket,tech,afternoon,64,False,11,True,sarcasm
166,The coffee this morning hit different. Life is good.,support_ticket,social,night,52,False,9,False,joy
167,The sunset tonight was unreal. Had to put my phone down just to watch. Not sure what to think.,chat,personal,evening,94,False,19,False,joy
168,I'll send over the details once I have them confirmed.,support_ticket,health,morning,54,False,10,False,neutral
169,My order shows delivered but there is nothing at my door.,review,health,afternoon,57,False,11,False,frustration
170,Been on hold for 47 minutes. Still no answer. Just tell me if the service is down.!,support_ticket,product_feedback,afternoon,83,False,17,True,frustration
171,Waiting for feedback on the proposal. Refreshing my inbox every ten minutes.,chat,personal,night,76,False,12,False,anxiety
172,Submitted my request two weeks ago. Still pending. No updates.,review,finance,morning,62,False,10,False,frustration
173,The team is currently working on it. Will update when complete.,twitter,finance,evening,63,False,11,False,neutral
174,Company retreat next week. First time the whole team meets in person. Not sure what to think.,review,tech,afternoon,93,False,17,False,excitement
175,The beta just went live. Watching signups come in real time. Insane.,review,personal,afternoon,68,False,12,False,excitement
176,Oh you moved the settings menu again. Fun surprise.!,support_ticket,tech,evening,52,False,9,True,sarcasm
177,Launching publicly tomorrow. What if nobody shows up.,review,product_feedback,morning,53,False,8,False,anxiety
178,We hit a goal everyone said was unrealistic. Feels good to be unrealistic.,chat,finance,morning,74,False,13,False,pride
179,Three stars. Not bad. But I wanted it to be great.,twitter,social,afternoon,50,False,11,False,disappointment
180,Just got the call. We're in. Season starts in two months.,chat,tech,afternoon,57,False,11,False,excitement
181,Thought we'd crossed a milestone today. Numbers say otherwise.,review,product_feedback,afternoon,62,False,9,False,disappointment
182,They added a dark mode. Pity about everything else.,chat,personal,afternoon,51,False,9,False,sarcasm
183,Your subscription renews on the 15th of next month.,twitter,customer_service,morning,51,False,9,False,neutral
184,The leaderboard just updated and we moved to #2. LETS GO.,review,work,evening,57,False,11,False,excitement
185,Submitted my request two weeks ago. Still pending. No updates.,support_ticket,social,evening,62,False,10,False,frustration
186,We bootstrapped to profitability. No outside funding. Just us.,support_ticket,health,night,62,False,9,False,pride
187,I followed the instructions exactly. It still doesn't work. What am I missing. Honestly.,chat,personal,night,88,False,14,False,frustration
188,Company retreat next week. First time the whole team meets in person.,support_ticket,work,night,69,False,12,False,excitement
189,My team pulled off something we were told was impossible. Incredible.,support_ticket,work,morning,69,False,11,False,joy
190,Nominated for the award by my peers. Means more than any other kind.,support_ticket,personal,night,68,False,13,False,pride
191,The server is responding slowly and we have a demo in 20 minutes. Not sure what to think.,chat,tech,evening,89,False,18,False,anxiety
192,The beta just went live. Watching signups come in real time. Insane..,support_ticket,personal,morning,69,False,12,False,excitement
193,Third time I've explained this issue in this ticket. Starting from scratch again. Really.,chat,work,evening,89,False,14,False,frustration
194,New season drops at midnight and I am very much awake. Not sure what to think.,chat,social,afternoon,78,False,16,False,excitement
195,Random act of kindness from a stranger today. Restored my faith. Really.,support_ticket,personal,evening,72,False,12,False,joy
196,My kid stood up for someone being bullied today. Without being asked.,chat,social,night,69,False,12,False,pride
197,First run in weeks and I feel like a new person. Honestly.,support_ticket,personal,night,58,False,12,False,joy
198,The app crashes every single time I try to export. Every. Single. Time.,twitter,product_feedback,morning,71,False,13,False,frustration
199,The office will be closed on Friday for the public holiday.,twitter,finance,night,59,False,11,False,neutral
200,Built the whole thing myself. From scratch. It works. It actually works.!,chat,customer_service,evening,73,False,12,True,pride
201,The new version is available for download from the usual location.,twitter,product_feedback,afternoon,66,False,11,False,neutral
202,Confirming receipt of your message. We'll follow up shortly.,twitter,customer_service,evening,60,False,9,False,neutral
203,Got the feedback. A lot of it was fair. Still hard to read.,twitter,work,evening,59,False,13,False,disappointment
204,Haven't heard back after the final interview. It's been five days.!,twitter,social,morning,67,False,11,True,anxiety
205,Finally finished the book I started six months ago. So worth it.,review,work,evening,64,False,12,False,joy
206,Replied to this exact email three times now. Does anyone actually read these?,support_ticket,customer_service,afternoon,77,False,13,True,frustration
207,Built the whole thing myself. From scratch. It works. It actually works.,twitter,personal,afternoon,72,False,12,False,pride
208,Paid for priority support. Currently waiting 6 hours for a response.,review,finance,morning,68,False,11,False,frustration
209,"Oh great, another update that changed everything I already knew how to use..",twitter,customer_service,night,76,False,13,False,sarcasm
210,Let me know if you need anything else from my end.,support_ticket,health,morning,50,False,11,False,neutral
211,I followed the instructions exactly. It still doesn't work. What am I missing.,review,personal,afternoon,78,False,13,False,frustration
212,Your subscription renews on the 15th of next month.,twitter,health,night,51,False,9,False,neutral
213,Finally got accepted to the program I applied to three times.,review,finance,night,61,False,11,False,excitement
214,My student passed her board exams. I taught her everything she used today.,review,product_feedback,evening,74,False,13,False,pride
215,"Sure, I'll just restart my computer for the fourth time today. That'll do it.",review,finance,night,77,False,14,False,sarcasm
216,The collaboration fell through. We were really looking forward to it.,chat,finance,afternoon,69,False,11,False,disappointment
217,The coffee this morning hit different. Life is good.,support_ticket,work,morning,52,False,9,False,joy
218,Oh you moved the settings menu again. Fun surprise.,chat,social,morning,51,False,9,False,sarcasm
219,Shipped the feature in half the time we estimated. Team was incredible.,review,tech,afternoon,71,False,12,False,pride
220,Company retreat next week. First time the whole team meets in person.,support_ticket,product_feedback,afternoon,69,False,12,False,excitement
221,Finally finished the book I started six months ago. So worth it.,chat,customer_service,evening,64,False,12,False,joy
222,Random act of kindness from a stranger today. Restored my faith.,review,personal,night,64,False,11,False,joy
223,The form won't let me proceed without a field that doesn't apply to me.,review,health,afternoon,71,False,14,False,frustration
224,"Oh great, another update that changed everything I already knew how to use.",twitter,product_feedback,morning,75,False,13,False,sarcasm
225,Confirming receipt of your message. We'll follow up shortly.,review,social,morning,60,False,9,False,neutral
226,It's raining outside and I have nowhere to be. Perfect day.,review,health,afternoon,59,False,11,False,joy
227,The collaboration fell through. We were really looking forward to it.,chat,customer_service,night,69,False,11,False,disappointment
228,WE GOT THE FUNDING. Announcing next week. Cannot contain this.,support_ticket,health,afternoon,62,False,10,False,excitement
229,Just got the call. We're in. Season starts in two months. Really.,chat,product_feedback,evening,65,False,12,False,excitement
230,My order arrived a day early and everything was perfect.,chat,product_feedback,morning,56,False,10,False,joy
231,Got the feedback. A lot of it was fair. Still hard to read.,support_ticket,tech,evening,59,False,13,False,disappointment
232,The package should arrive between Tuesday and Thursday.,support_ticket,work,night,55,False,8,False,neutral
233,I followed the instructions exactly. It still doesn't work. What am I missing.,chat,customer_service,morning,78,False,13,False,frustration
234,We hit a goal everyone said was unrealistic. Feels good to be unrealistic.!,review,product_feedback,afternoon,75,False,13,True,pride
235,The app crashes every single time I try to export. Every. Single. Time.!,twitter,health,morning,72,False,13,True,frustration
236,The product we shipped is being used by people I've never met. Surreal.,support_ticket,social,afternoon,71,False,13,False,pride
237,Got promoted. Still can't believe it's real.,support_ticket,tech,morning,44,False,7,False,joy
238,The product we shipped is being used by people I've never met. Surreal. Really.,twitter,work,afternoon,79,False,14,False,pride
239,Love how the error message just says 'something went wrong'. So helpful. Really.,review,tech,night,80,False,13,False,sarcasm
240,Three separate apps for three things that used to be one. Progress.,support_ticket,tech,night,67,False,12,False,sarcasm
241,The form won't let me proceed without a field that doesn't apply to me.,twitter,work,afternoon,71,False,14,False,frustration
242,The office will be closed on Friday for the public holiday.,chat,health,afternoon,59,False,11,False,neutral
243,The app crashes every single time I try to export. Every. Single. Time.,chat,health,afternoon,71,False,13,False,frustration
244,The fix they deployed made it worse. Not slightly worse. Much worse.,support_ticket,personal,evening,68,False,12,False,frustration
245,Had to repeat my account details to three different agents today.,chat,product_feedback,night,65,False,11,False,frustration
246,Haven't heard back after the final interview. It's been five days.,twitter,product_feedback,night,66,False,11,False,anxiety
247,The feature was removed because 'not enough users requested it.' Just me then.,twitter,product_feedback,afternoon,78,False,13,False,sarcasm
248,The coffee this morning hit different. Life is good. Really.,twitter,health,night,60,False,10,False,joy
249,Built the whole thing myself. From scratch. It works. It actually works. Really.,twitter,tech,evening,80,False,13,False,pride
250,My doctor said the results would be in by now. They're not.,twitter,personal,afternoon,59,False,12,False,anxiety
251,The package should arrive between Tuesday and Thursday.,review,product_feedback,evening,55,False,8,False,neutral
252,Kids fell asleep without a fight tonight. I might cry.!,twitter,tech,morning,55,False,10,True,joy
253,Love how the error message just says 'something went wrong'. So helpful.,chat,tech,afternoon,72,False,12,False,sarcasm
254,My order shows delivered but there is nothing at my door.,review,health,morning,57,False,11,False,frustration
255,Our product just hit the front page. This is it.,chat,product_feedback,morning,48,False,10,False,excitement
256,My article got cited in a research paper. Still processing that.,twitter,product_feedback,evening,64,False,11,False,pride
257,Asked for a supervisor. Was put back in the queue. Unbelievable.,review,social,afternoon,64,False,11,False,frustration
258,Built the whole thing myself. From scratch. It works. It actually works.,review,social,morning,72,False,12,False,pride
259,"Wow, a 4 hour delivery window. So specific. Really narrows it down.",chat,social,afternoon,67,False,12,False,sarcasm
260,The product we shipped is being used by people I've never met. Surreal.,chat,health,afternoon,71,False,13,False,pride
261,Replied to this exact email three times now. Does anyone actually read these?,review,health,night,77,False,13,True,frustration
262,My doctor said the results would be in by now. They're not..,review,health,morning,60,False,12,False,anxiety
263,Deadline is in four hours and I'm still not confident this is ready.,twitter,product_feedback,morning,68,False,13,False,anxiety
264,Your account has been created. You can log in with the email provided.,twitter,tech,night,70,False,13,False,neutral
265,My student passed her board exams. I taught her everything she used today.,twitter,work,afternoon,74,False,13,False,pride
266,The feature was removed because 'not enough users requested it.' Just me then.,twitter,tech,evening,78,False,13,False,sarcasm
267,Expected a lot more based on the reviews. It's fine. Just fine.,review,personal,afternoon,63,False,12,False,disappointment
268,They added a dark mode. Pity about everything else.,twitter,social,night,51,False,9,False,sarcasm
269,The upgrade honestly isn't worth it at this price..,support_ticket,health,afternoon,51,False,9,False,disappointment
270,Three stars. Not bad. But I wanted it to be great.,twitter,personal,night,50,False,11,False,disappointment
271,The update broke the one feature I actually used.,twitter,tech,morning,49,False,9,False,frustration
272,First day at the new job tomorrow. Hope I made the right call.,chat,personal,night,62,False,13,False,anxiety
273,The system maintenance is scheduled for Sunday between 2am and 4am.,review,health,evening,67,False,11,False,neutral
274,My mentor is leaving the company. Genuinely one of the best people here.,twitter,health,morning,72,False,13,False,disappointment
275,New season drops at midnight and I am very much awake. Honestly.,review,personal,night,64,False,12,False,excitement
276,New season drops at midnight and I am very much awake.,support_ticket,personal,night,54,False,11,False,excitement
277,The meeting got moved to Monday with no explanation. That's never good.,support_ticket,social,evening,71,False,12,False,anxiety
278,The team is currently working on it. Will update when complete.,chat,personal,evening,63,False,11,False,neutral
279,Let me know if you need anything else from my end.,support_ticket,finance,morning,50,False,11,False,neutral
280,Just got home and my dog went absolutely crazy. Best feeling ever.,chat,product_feedback,afternoon,66,False,12,False,joy
281,Thanks for the 'fix'. The bug is now in a different place.,support_ticket,finance,night,58,False,12,False,sarcasm
282,It's raining outside and I have nowhere to be. Perfect day.,chat,finance,afternoon,59,False,11,False,joy
283,The form won't let me proceed without a field that doesn't apply to me. Not sure what to think.,twitter,social,night,95,False,19,False,frustration
284,My team pulled off something we were told was impossible. Incredible.,support_ticket,finance,morning,69,False,11,False,joy
285,It's raining outside and I have nowhere to be. Perfect day.,review,personal,afternoon,59,False,11,False,joy
286,"The movie was okay. Considering how long we waited, just okay feels bad.",review,customer_service,night,72,False,13,False,disappointment
287,Sent the email and immediately found a typo. To 300 people.,twitter,tech,morning,59,False,11,False,anxiety
288,The sunset tonight was unreal. Had to put my phone down just to watch. Honestly.,chat,social,afternoon,80,False,15,False,joy
289,My student passed her board exams. I taught her everything she used today. Really.,review,tech,morning,82,False,14,False,pride
290,Got the feedback. A lot of it was fair. Still hard to read.,chat,tech,evening,59,False,13,False,disappointment
291,"Yes, a survey right now makes perfect sense. Love the timing.",review,health,afternoon,61,False,11,False,sarcasm
292,We've updated our privacy policy. You can view it on our website.,chat,social,afternoon,65,False,12,False,neutral
293,Thought we'd crossed a milestone today. Numbers say otherwise.,twitter,finance,morning,62,False,9,False,disappointment
294,Got a calendar invite titled 'Quick chat' from my manager. Just that.,support_ticket,health,night,69,False,12,False,anxiety
295,"Charged twice. Refund requested. Eleven days later, nothing.",support_ticket,finance,morning,60,False,8,False,frustration
296,New season drops at midnight and I am very much awake.,chat,work,afternoon,54,False,11,False,excitement
297,Three years of night classes and I finally have the degree.,twitter,work,night,59,False,11,False,pride
298,Finally got accepted to the program I applied to three times.,support_ticket,tech,morning,61,False,11,False,excitement
